Jar,Time,Temp,Class,Area (ABD),Aspect Ratio,Average Blue,Average Green,Average Red,Biovolume (Cylinder),Biovolume (P. Spheroid),Biovolume (Sphere),Circularity (Hu),Date,Diameter (ABD),Geodesic Aspect Ratio,Geodesic Length,Length,Original Reference ID,Ratio Blue/Green,Ratio Red/Blue,Ratio Red/Green,Sigma Intensity,Timestamp,Volume (ABD),Width,Density_inds/ml,
INIT,0,Original,Colpidium,3481.9634,0.4096,138.0353,140.5846,143.5337,144539.5591,121777.5161,154561.0622,0.6893,6/5/19,66.5836,0.3991,104.9394,111.7035,B5B7EDDC-EB81-482A-B7D4-9547B85FF601,0.9819,1.0398,1.021,48.4013,2019-06-05T08:34:17.847,1.55E+05,45.9105,311, 
INIT,0,Original,Colpidium,2907.5437,0.4022,130.9185,136.3742,139.8203,108385.8213,90321.2559,117937.8407,0.6834,6/5/19,60.8441,0.3815,98.2447,103.0275,CE2ED5CE-D3BA-4130-8B3F-C36A58344B69,0.96,1.068,1.0253,43.5884,2019-06-05T08:34:17.984,1.18E+05,41.5725,311,
INIT,0,Original,Colpidium,3040.5998,0.451,125.554,133.8506,137.7932,131018.3713,112996.1941,126125.4376,0.7399,6/5/19,62.2207,0.4123,99.3743,103.0275,DF2BF383-8ABB-4C4A-97CA-5DF5A7FA174B,0.938,1.0975,1.0295,35.8613,2019-06-05T08:34:18.427,1.26E+05,46.6335,311,
INIT,0,Original,Colpidium,2407.5819,0.3953,129.1534,135.1941,138.9524,82109.732,69532.5083,88865.9529,0.6748,6/5/19,55.3663,0.3513,94.6256,95.7975,C0404731-2021-4F99-9A99-D713B47D1E2C,0.9553,1.0759,1.0278,39.4502,2019-06-05T08:34:19.386,8.89E+04,37.9575,311,
INIT,0,Original,Colpidium,3737.3427,0.4384,129.6258,134.4542,138.445,160820.2045,141350.3613,171873.2072,0.7238,6/5/19,68.9821,0.3983,108.8846,113.8725,17F9A6F5-F262-4C0C-B630-B41DB6802AA8,0.9641,1.068,1.0297,40.2696,2019-06-05T08:34:19.428,1.72E+05,50.2485,311,
INIT,0,Original,Colpidium,3391.7847,0.4226,124.913,131.1434,135.2362,141668.8547,118857.0363,148595.6936,0.7111,6/5/19,65.7157,0.4036,103.4545,110.9805,EF29E757-38A6-4382-B614-1F4E925FEDD5,0.9525,1.0826,1.0312,38.1018,2019-06-05T08:34:19.820,1.49E+05,47.3565,311,
INIT,0,Original,Colpidium,3318.0894,0.4956,125.6341,131.9997,135.677,91358.7311,111233.8596,143779.1573,0.7791,6/5/19,64.9979,0.2338,128.6342,95.7975,7B69BBAD-1D30-4964-A267-8E46D575DC0E,0.9518,1.0799,1.0279,39.161,2019-06-05T08:34:20.603,1.44E+05,50.2485,311,
INIT,0,Original,Colpidium,2395.2399,0.4637,138.3589,140.9494,143.6263,94296.6716,82438.8465,88183.4964,0.7508,6/5/19,55.2242,0.4028,90.4439,95.7975,666A76D6-1B88-4EAE-B71A-86D3B0C1A1E0,0.9816,1.0381,1.019,40.49,2019-06-05T08:34:22.776,8.82E+04,43.0185,311,
INIT,0,Original,Colpidium,3835.7109,0.4253,132.0194,136.1124,139.3926,186702.1075,155555.7203,178703.3147,0.708,6/5/19,69.884,0.4354,107.8407,118.9335,D54EB7A2-D729-4477-BC07-89C9A84D8045,0.9699,1.0558,1.0241,42.5612,2019-06-05T08:34:23.484,1.79E+05,51.6945,311,
INIT,0,Original,Colpidium,3788.2673,0.4227,124.0985,131.1886,135.4504,145918.4561,141558.7598,175398.0372,0.7054,6/5/19,69.4505,0.3154,123.1601,115.3185,8006DBEB-2757-4E9A-9934-D3D08037E25C,0.946,1.0915,1.0325,35.9821,2019-06-05T08:34:23.778,1.75E+05,50.9715,311,
